Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,,Reel,Rotation,Offset
C1,C0603,100.71,34.8,100.71,34.8,100.71,34.8,T,0,0.1uF,,2,-90,90
C6,C0603,26.16,34.29,26.16,34.29,26.16,34.29,T,90,0.1uF,,2,0,
C10,C0603,110.3,2,110.3,2,110.3,2,T,0,0.1uF,,2,-90,
C14,C0603,41.91,29.59,41.91,29.59,41.91,29.59,T,0,0.1uF,,2,-90,
C17,C0603,11.05,35.31,11.05,35.31,11.05,35.31,T,90,0.1uF,,2,0,
C18,C0603,26.23,37.69,26.23,37.69,26.23,37.69,T,90,0.1uF,,2,0,
C21,C0603,52.32,28.58,52.32,28.58,52.32,28.58,T,90,0.1uF,,2,0,
C22,C0603,28.32,34.29,28.32,34.29,28.32,34.29,T,90,0.1uF,,2,0,
C23,C0603,34.54,35.05,34.54,35.05,34.54,35.05,T,0,0.1uF,,2,-90,
R3,R0603,11.3,41.91,11.3,41.91,11.3,41.91,T,90,10k,,11,0,
R8,R0603,23.69,28.92,23.69,28.92,23.69,28.92,T,90,10k,,11,0,
R9,R0603,23.69,25.81,23.69,25.81,23.69,25.81,T,90,10k,,11,0,
R11,R0603,67.75,29.62,67.75,29.62,`,29.62,T,180,10k,,11,90,
R12,R0603,71.41,24.07,71.41,24.07,71.41,24.07,T,0,10k,,11,-90,
R13,R0603,10.41,4.19,10.41,4.19,10.41,4.19,T,90,10k,,11,0,
R15,R0603,24.38,14.22,24.38,14.22,24.38,14.22,T,90,10k,,11,0,
R18,R0603,26.54,14.22,26.54,14.22,26.54,14.22,T,90,10k,,11,0,
R19,R0603,28.7,14.22,28.7,14.22,28.7,14.22,T,90,10k,,11,0,
R25,R0603,25.91,29.85,25.91,29.85,25.91,29.85,T,90,10k,,11,0,
R26,R0603,30.86,14.22,30.86,14.22,30.86,14.22,T,90,10k,,11,0,
R27,R0603,33.91,14.22,33.91,14.22,33.91,14.22,T,90,10k,,11,0,
R28,R0603,36.07,14.22,36.07,14.22,36.07,14.22,T,90,10k,,11,0,
R29,R0603,25.91,26.8,25.91,26.8,25.91,26.8,T,90,10k,,11,0,
R42,R0603,18.22,25.81,18.22,25.81,18.22,25.81,T,90,10k,,11,0,
R43,R0603,18.22,28.83,18.22,28.83,18.22,28.83,T,90,10k,,11,0,
R46,R0603,36.07,32.58,36.07,32.58,36.07,32.58,T,90,10k,,11,0,
R47,R0603,34.04,32.58,34.04,32.58,34.04,32.58,T,90,10k,,11,0,
C12,CECJ-1206,36.45,10.67,36.45,10.67,36.45,10.67,T,0,10nF,,15,-90,
C29,CECJ-1206,29.337,10.668,29.337,10.668,29.337,10.668,T,0,10nF,,15,-90,
D+,R0603,13.97,33.53,13.97,33.53,13.97,33.53,T,180,27ohm,,7,90,
D-,R0603,13.97,31.5,13.97,31.5,13.97,31.5,T,180,27ohm,,7,90,
R4,R0603,48.64,30.48,48.64,30.48,48.64,30.48,T,90,330,,8,0,
R5,R0603,46.48,30.48,46.48,30.48,46.48,30.48,T,90,330,,8,0,
R6,R0603,52.83,24.64,52.83,24.64,52.83,24.64,T,180,330,,8,90,
R7,R0603,48.64,35.05,48.64,35.05,48.64,35.05,T,180,330,,8,90,
R10,R0603,48.64,33.02,48.64,33.02,48.64,33.02,T,180,330,,8,90,
R14,R0603,81.03,28.07,81.03,28.07,81.03,28.07,T,90,330,,8,0,
R23,R0603,78.99,28.07,78.99,28.07,78.99,28.07,T,90,330,,8,0,
R24,R0603,83.06,28.07,83.06,28.07,83.06,28.07,T,90,330,,8,0,
U2,QFN20,44.04,33.31,44.04,33.31,44.04,33.31,T,0,FT231X-Q,,23,-90,
Q5,SOT23-3,82.94,34.23,82.94,34.23,82.94,34.23,T,90,MOSFET_PCH-IRLML2244,,17,0,
Q6,SOT23-3,83.52,24.89,83.52,24.89,83.52,24.89,T,90,MOSFET_PCH-IRLML2244,,17,0,
Q7,SOT23-3,15.37,25.6,15.37,25.6,15.37,25.6,T,180,MOSFET_PCH-IRLML2244,,17,90,
Q8,SOT23-3,20.97,28.99,20.97,28.99,20.97,28.99,T,90,MOSFET-NCH-BSS138,,18,0,
Q9,SOT23-3,20.94,25.81,20.94,25.81,20.94,25.81,T,90,MOSFET-NCH-BSS138,,18,0,
